index, number
692,(-143970.20532921306+0j)
693,(-143939.06887793954+0j)
694,(-144084.51702799523+0j)
695,(-144081.71370858944+0j)
696,(-144234.6525419873+0j)
697,(-144115.34109243468+0j)
698,(-144265.76365123107+0j)
699,(-144139.18157136053+0j)
700,(-144286.40918103082+0j)
701,(-144339.05968955814+0j)
702,(-144474.8511643854+0j)
703,(-144365.36211249066+0j)
704,(-144506.3690254311+0j)
705,(-144371.5037801252+0j)
706,(-144512.5082253979+0j)
707,(-182225.2806552598+0j)
708,(-182289.98372067124+0j)
709,(-182251.22577568045+0j)
710,(-182318.85909579045+0j)
711,(-182270.32820766565+0j)
712,(-182340.28260465147+0j)
713,(-182315.88822607126+0j)
714,(-182380.28204102727+0j)
715,(-182326.82049137133+0j)
716,(-182391.69386705034+0j)
717,(-182340.64856847835+0j)
718,(-182407.53606358057+0j)
719,(-182373.6088648633+0j)
720,(-182438.72291111268+0j)
721,(-182412.53129176504+0j)
722,(-182479.19362757524+0j)
723,(-182467.53645142377+0j)
724,(-182525.75165382464+0j)
725,(-183400.02371583594+0j)
726,(-183461.69911676025+0j)
