,0
207,(-251.3658773902844-3.0235373045097296e-13j)
208,(-201.23361300552347-3.4570063111831207e-13j)
209,(-302.0567058825294+7.933425546513657e-13j)
210,(-290.85140464331477+8.048076038124112e-14j)
211,(-284.6705404063553+2.39832279251887e-13j)
212,(-226.52400132097264-2.6650058268650047e-13j)
213,(-277.2392083913345+2.569769007558038e-13j)
214,(-237.39643806399013+3.864143175391193e-14j)
215,(-242.0115950106175-6.13168808169019e-14j)
216,(-267.8852775544108+2.104490268216262e-13j)
217,(-253.29137099787823+4.797794540320338e-13j)
218,(-260.47698529283645-1.0772174575128003e-13j)
219,(-312.5136680812676-7.641828707767382e-14j)
220,(-305.51189377685637-1.5499802501651101e-13j)
221,(-299.5085585858415+5.108450478309012e-13j)
222,(-207.25399563613038+2.6113594284478503e-13j)
223,(-295.0787896691492+5.469716793965661e-14j)
224,(-286.77284347463785+2.3483534335714512e-14j)
225,(-226.0511341313267-4.2771816563583814e-13j)
226,(-232.704782507596+2.3562219068439914e-13j)
227,(-237.0104440412001-8.80314755613579e-15j)
228,(-240.37897366093893+2.691127080777654e-13j)
229,(-267.87036365863673-2.87723109637215e-13j)
230,(-247.0925117660703+1.4890537651427712e-13j)
231,(-254.8272310270913+1.923196374277743e-13j)
232,(-318.31016109773884+3.801403636316536e-13j)
233,(-221.13240254646385+1.617759221568192e-13j)
234,(-296.58601823569995-3.51392762197917e-14j)
235,(-224.93599537719146+2.6960679742437397e-14j)
236,(-290.80096827594684+3.2976314080022e-13j)
237,(-281.50537627019105-2.2835390975739404e-13j)
238,(-239.760319325385-7.091412934585906e-14j)
239,(-248.52670799330133-1.2680773690795396e-13j)
240,(-272.8101903113549+8.378779128304711e-14j)
241,(-312.744231574807-2.0339285811132868e-13j)
242,(-306.6378066692192-1.416727147089808e-13j)
243,(-290.124171227777-1.4225236232740024e-13j)
244,(-280.8205478994281-8.64047157576387e-14j)
245,(-227.25896484811733+1.712091265241345e-13j)
246,(-266.934340612703-5.715294175211563e-13j)
247,(-238.507470707592-3.697761728575531e-13j)
248,(-258.70930753153397+1.40489741905432e-13j)
249,(-250.8906035991719-1.7486539497509955e-13j)
250,(-243.446741839114+3.832947359540193e-14j)
251,(-246.44984418896226+5.870311456671305e-14j)
252,(-297.7245844157365+2.4912058006343e-13j)
253,(-291.7093685517068+9.900418605179122e-14j)
254,(-219.95786892022355-2.4717283186224983e-13j)
255,(-279.1423213558647+6.594386230226307e-13j)
256,(-268.88979948987185+6.244326343985822e-14j)
257,(-245.3828009169471+9.058939363749192e-14j)
258,(-252.29166183023756+5.205525557246229e-14j)
259,(-257.92779902641126+2.4856387602427762e-14j)
260,(-259.01873391117016-9.636759148269426e-14j)
261,(-192.65549786588696-1.5268342146157465e-13j)
262,(-303.54380789359277+1.5979343634961798e-13j)
263,(-298.7511638030368-1.592210482616326e-13j)
264,(-297.320960363882-4.965006977185868e-13j)
265,(-287.3174230664784+6.636172058182026e-14j)
266,(-213.45480647823254-3.267431314678902e-14j)
267,(-215.76957669563208+2.877525950505867e-14j)
268,(-223.00428780863328-3.539270235329498e-13j)
269,(-226.543431250158-1.0062251231498657e-13j)
270,(-254.31786362438126+1.7458162102590516e-13j)
271,(-248.8909420771382+5.450546631329151e-13j)
272,(-248.06391870447234-5.81261320635097e-13j)
273,(-238.0252948045337+3.270683011117075e-14j)
274,(-297.4114620264742-3.7194146794330874e-13j)
275,(-294.8840993391289+5.882683559746465e-14j)
276,(-288.33490994332004-1.049755686434683e-12j)
277,(-286.1425522285512+2.3761233071293695e-13j)
278,(-281.5255206904432+1.693024150947013e-13j)
279,(-214.06071254241823+3.926598955291701e-14j)
280,(-276.255263176067-3.301627822004099e-13j)
281,(-270.193151975648+1.7410031951886346e-13j)
282,(-232.29978144942726-2.6738762446833135e-13j)
283,(-260.179410344619-3.039443538413554e-13j)
284,(-244.95400168066297+2.1127995959376793e-13j)
285,(-322.57369776963384+5.684341886080802e-14j)
286,(-204.54192755599564-1.5626267098854674e-14j)
287,(-311.3092515556494-3.055900729099782e-14j)
288,(-207.30058943335655-3.506255152988905e-13j)
289,(-301.9095464692072+2.9503739513176026e-13j)
290,(-218.2929461641351+5.490304369201895e-13j)
291,(-292.59172166327863+1.1602252079216548e-14j)
292,(-289.519077893997-1.578845672214653e-13j)
293,(-242.60882220663225-1.106184174838838e-12j)
294,(-243.10477434509863+1.1207080361227827e-12j)
295,(-252.78104393962064-2.2603139214908618e-14j)
296,(-311.21672151049825-1.0057616218567852e-12j)
297,(-308.3119305834547+5.655016779564236e-13j)
298,(-214.86514088856117-8.208042017931712e-14j)
299,(-285.4184648433525+2.1243242907367905e-13j)
300,(-283.3785823801313-7.312554697853871e-15j)
301,(-238.43801343107566-2.929553609716832e-13j)
302,(-241.53923593247362-7.674525079305374e-14j)
303,(-262.76943283678287-1.1212008472212601e-13j)
304,(-255.69174506110448-1.624497993477808e-13j)
305,(-307.33736517265-2.2635480395263857e-13j)
306,(-209.54865881629817-1.1791076402646363e-13j)
307,(-214.3590837057334-5.240289030202605e-14j)
308,(-292.39896079809904-5.382398562402325e-13j)
309,(-278.67338000490923+2.605293954427993e-13j)
310,(-240.5461916274431+9.097336580100282e-14j)
311,(-271.29519839754045+1.1798218771819536e-13j)
312,(-246.70997282969697+1.3744318975966863e-13j)
313,(-267.88037741417725-2.317834324807692e-14j)
314,(-260.9741174083808-6.826641754859598e-14j)
315,(-253.84444310351077+4.562125181279173e-14j)
316,(-294.92110913523646-2.3729671530279302e-14j)
317,(-205.80633276832623-2.495152501559905e-13j)
318,(-289.5841030670513-9.232713740692895e-14j)
319,(-283.0907146264346+6.851232956912389e-13j)
320,(-219.91968931081038-9.457330453513521e-14j)
321,(-221.59125078618695+1.3973935265067965e-13j)
322,(-276.94456133677556+1.721044117289966e-13j)
323,(-273.280719728855-9.139670090967177e-14j)
324,(-240.93952631150154-1.9595070275369503e-13j)
325,(-318.76915513841016+4.547473508864641e-13j)
326,(-311.2789553006371-1.5891781923477953e-13j)
327,(-211.64082097515413+1.617440748251705e-13j)
328,(-224.30291077411113-4.633238711053142e-13j)
329,(-238.39798115442585-4.1599504546553327e-13j)
330,(-286.68597221058053-2.670386670272149e-13j)
331,(-270.43759415595594-4.211468279674004e-14j)
332,(-313.80501712717427+8.404032828264243e-14j)
333,(-206.58832933152365+3.290189787371656e-13j)
334,(-209.13158246520535+1.7616782906456187e-13j)
335,(-214.43689436932854-8.900486022246204e-14j)
336,(-223.85672744920808+4.126078740480859e-14j)
337,(-281.40087372670104-4.131059571744978e-14j)
338,(-275.42875800213847+2.337559895829887e-13j)
339,(-261.47679178408157-1.4826401509907054e-13j)
340,(-246.35294659757338+9.244880274811022e-14j)
341,(-310.7521802888424+1.5872662868167414e-13j)
342,(-303.9724059170731-2.634136579393538e-13j)
343,(-285.8077952905225-2.8589995898385126e-13j)
344,(-213.07712093684046-1.7469499963473553e-13j)
345,(-222.48729811813155-1.0741710352227932e-13j)
346,(-231.8953429941323-2.1986972774487342e-13j)
347,(-238.5677126496405+1.3855960986272374e-14j)
348,(-310.86584798047903+8.517162491858041e-14j)
349,(-302.6123745237672+2.9958603929510923e-13j)
350,(-205.58210997159568+1.3454163090240543e-13j)
351,(-211.31867208318928+2.4990489969539157e-13j)
352,(-291.39684198690605+7.394319991017385e-14j)
353,(-283.8004971740668-3.448711206625172e-13j)
354,(-283.4485408336487+6.914055100763924e-13j)
355,(-278.834373915026-6.297435680403476e-14j)
356,(-232.37153879500462-2.3873808537822055e-13j)
357,(-267.5942866802399+1.583701682329932e-13j)
358,(-248.74233974312116-7.418962589201732e-13j)
359,(-316.87532545033577-5.71136432256498e-14j)
360,(-308.2870722303277+3.3355943137786526e-13j)
361,(-299.43713544210465+4.934463428422351e-13j)
362,(-205.30979834867077-2.4987919763916368e-14j)
363,(-208.39746177534474+3.5573639375928674e-14j)
364,(-220.75001171084313+8.390562070945778e-14j)
365,(-235.43866463612255-1.257474012790143e-13j)
366,(-265.6688722361272-1.1422708257813313e-13j)
367,(-257.25669126711733+1.297204798500574e-14j)
368,(-306.79542493727655-2.1211519178680118e-13j)
369,(-204.66719777919536+9.868376144511398e-14j)
370,(-281.0831873086543-1.601269852917512e-13j)
371,(-218.44898345659828-2.8247733977028206e-13j)
372,(-219.5426731828112+1.9248742283370207e-13j)
373,(-274.613925094263+3.106302123920807e-13j)
374,(-228.68608599032976+7.943706208559844e-14j)
375,(-233.7063916459246+9.207188703912899e-14j)
376,(-252.48273550352934+3.304925322918402e-14j)
377,(-240.25708614877868+1.0464147944116593e-13j)
378,(-246.93841794176657-1.6679711646167962e-13j)
379,(-326.20791274003165-1.5547417519994338e-13j)
380,(-205.54894001991778+1.5543122344752192e-13j)
381,(-300.3179505988151-7.106641871317799e-13j)
382,(-213.60113932814428-7.574169921032775e-14j)
383,(-219.1695844865533-4.4712937463883143e-13j)
384,(-247.2796229316394-2.3147875548957023e-13j)
385,(-257.1304591681035-4.752842004504772e-14j)
386,(-305.9009427628685-2.4513724383723456e-13j)
387,(-207.74011739471317+5.587652662480609e-14j)
388,(-228.33032080646902-5.120052074073644e-14j)
389,(-231.6503960697175-1.815825716864594e-14j)
390,(-238.6364439672898-9.28960997513489e-15j)
391,(-265.55678705726206-8.835209919407758e-16j)
392,(-263.62016340468176+1.1791848455650587e-14j)
393,(-250.1300954885318-2.535259997839103e-13j)
394,(-248.5488565071438+3.707982280259829e-14j)
395,(-312.77860661216783+8.526512829121202e-14j)
396,(-308.6054961095852-4.122585342569968e-13j)
397,(-204.08318073259338+1.9409695495801124e-13j)
398,(-299.55058537661705-6.104209572260004e-14j)
399,(-293.99652140321393+2.377627197460736e-15j)
400,(-283.0909019439571+3.074648203822423e-13j)
401,(-272.5407902405067+6.801191107387053e-15j)
402,(-254.6089061703045-4.652342923834595e-14j)
403,(-258.7010391730235+3.9508679667519783e-14j)
404,(-317.3770588721771+5.412689095149281e-14j)
405,(-302.0823251138391+5.110399898555351e-13j)
406,(-296.58650812742763+1.3925370460762447e-13j)
407,(-212.50860448597066-1.1445455874793042e-13j)
408,(-288.3044685673023-4.937157210354714e-13j)
409,(-220.8414648153469-1.503009624818275e-13j)
410,(-223.60970582030868+1.672784125306368e-13j)
411,(-231.29091299879835+1.6397276213807747e-13j)
412,(-273.7064718268561-1.6763043717989682e-13j)
413,(-269.29329592526085+1.6659555320285807e-13j)
414,(-238.20364321288972+1.1699569664939234e-13j)
415,(-243.2317780283593+2.8303423728647167e-14j)
416,(-261.60811431666747-1.8167077434648692e-13j)
417,(-288.5289446323552-3.9316008551595673e-13j)
418,(-211.9299412321128-3.7870249490259386e-13j)
419,(-279.22507765294205-5.58125176810052e-13j)
420,(-222.5927955091129-1.0151244294514303e-13j)
421,(-268.3664554244821-3.643833506140959e-14j)
422,(-233.94503668696444+2.0475458737649428e-13j)
423,(-261.2065158145966-8.455174170330381e-14j)
424,(-306.83775791481804+1.3241123815533177e-13j)
425,(-302.359711118204+8.80341924384299e-14j)
426,(-291.0511154228057+1.9660428659463506e-13j)
427,(-199.82373755013373-2.9506089701423793e-13j)
428,(-282.07222732119055-1.0863379867894684e-13j)
429,(-206.76807771932107-3.3194592459017213e-13j)
430,(-272.4325136188917-1.5521646744005333e-13j)
431,(-219.52215550968182-1.1320450391584269e-13j)
432,(-223.3045483867053-1.3387226190709324e-13j)
433,(-261.6937636200016+2.772324555784457e-13j)
434,(-234.53965439837637-9.796245226012263e-15j)
435,(-305.6293034883631+2.308615626529129e-13j)
436,(-298.90903654750343+4.958979636503779e-13j)
437,(-292.81440327141394-2.9797622146444886e-13j)
438,(-220.63383377011036-4.271078598489655e-13j)
439,(-221.98142239002436+2.9056577162886386e-13j)
440,(-226.43911988781213-1.1672125087737927e-13j)
441,(-285.097403787335-3.9209507844510653e-13j)
442,(-276.828351715258+7.734102043993066e-14j)
443,(-261.6512360646132-1.5128762989101006e-14j)
444,(-301.9303149191589-5.424002815874262e-13j)
445,(-296.77510395621715-1.9117348950423184e-13j)
446,(-230.19971948313906+2.1074227159697832e-13j)
447,(-231.55572810268697-2.876402419293577e-13j)
448,(-264.48209118138743+1.3101732569269697e-14j)
449,(-260.54601264441294-1.1378722773918136e-13j)
450,(-243.19914620438533-5.0239464567986255e-15j)
451,(-246.95514201301557-6.747168250672429e-14j)
452,(-249.9201701887026-3.0376413342801174e-14j)
453,(-316.5831993404496-4.263256414560601e-13j)
454,(-302.05199636540107+4.3717658296719657e-13j)
455,(-220.72765013627338-3.381265492467733e-14j)
456,(-224.80764670575064-3.158557832222782e-14j)
457,(-231.57850661495868+7.494300175944734e-14j)
458,(-240.7484917887168+4.756443550321902e-13j)
459,(-242.02787861930665-1.92688743785035e-13j)
460,(-269.5140230813849+9.98601708995818e-14j)
461,(-260.03325260748267-2.034993811137641e-13j)
462,(-205.008592344822-8.881784197001252e-14j)
463,(-212.1820756352679-3.1701187289179415e-13j)
464,(-277.58128090920457-5.426284652416596e-13j)
465,(-233.39025175504113+6.981458102509202e-14j)
466,(-265.12165070183266-2.2204089099245344e-13j)
