,0
276,(-898.844452610847-2.2481355618986538e-13j)
277,(-1161.440523511773+1.2350090116879278e-12j)
278,(-941.7030680915809-7.518860543192409e-13j)
279,(-965.6100593913518-1.8824238568819436e-13j)
280,(-1114.334684053005+1.3250031676989026e-12j)
281,(-1090.196494491985-5.328351527324195e-13j)
282,(-1079.760226809166+9.141022338110645e-13j)
283,(-1012.6701160461349+6.230275558029369e-13j)
284,(-1033.583431816637-2.164028866712872e-13j)
285,(-1052.1535794191504-1.9242277532292e-12j)
286,(-1261.3356452558558-2.47313001320345e-13j)
287,(-1174.738391701785-7.401452892455992e-13j)
288,(-1110.2993241926315-4.3112154735747583e-13j)
289,(-930.6275965365427-1.9167831762123545e-14j)
290,(-951.5204991529581-3.2985734343768277e-13j)
291,(-966.4720244802478-1.3334661960256872e-12j)
292,(-1015.3802769643837-1.430824320644821e-14j)
293,(-1232.216286619843+4.547473508864641e-13j)
294,(-810.1394192365523-3.9180859640628497e-13j)
295,(-1183.7078554735951+7.639297260966043e-13j)
296,(-1132.0279287308538-3.0033418454095825e-13j)
297,(-947.9390622282173-3.514614383618827e-12j)
298,(-1082.860792126599+2.19028286466275e-13j)
299,(-1018.8838929741283+1.4251484288050768e-13j)
300,(-1234.5960918478527-1.910425518046254e-13j)
301,(-825.4198355738021+8.521614581120946e-13j)
302,(-846.925613021732+1.0279425675889155e-12j)
303,(-1181.2736110199628-2.3846593647415677e-13j)
304,(-868.7786984945765+4.4411642719915067e-13j)
305,(-1126.9015519261504-3.0941463270267657e-13j)
306,(-882.9413195092219-5.745474531892923e-13j)
307,(-911.6333918448535-3.36105162902265e-13j)
308,(-966.7709134367573-1.8069649325421228e-13j)
309,(-997.9562633861539-7.369167085937836e-13j)
310,(-1024.933650118342+2.3620845348028267e-12j)
311,(-1217.260503916304+8.239216812264469e-13j)
312,(-1183.9020589436261-6.200508313319258e-13j)
313,(-854.8605246070422+2.8588424774003343e-13j)
314,(-882.4493830129949-4.214960570817889e-13j)
315,(-1066.1441868685883+1.6428854192523081e-12j)
316,(-931.0140077596781-5.308886217464556e-13j)
317,(-982.6529454461387-4.478224781226911e-13j)
318,(-1012.744228459225+8.884658448188151e-14j)
319,(-1028.7034208233063-4.1847657740634256e-13j)
320,(-1233.9453636059498-1.0941195165757473e-13j)
321,(-1205.2307905729037+1.0960762118254957e-12j)
322,(-840.997755718632+9.58319722272667e-13j)
323,(-1170.3983439756641+6.626796589604359e-13j)
324,(-1097.1057810818263+1.6399708979892035e-12j)
325,(-904.1528074808916-1.2601629424315234e-12j)
326,(-914.4519265755918+1.1494972988407707e-12j)
327,(-943.0706143785453-1.3636304127937183e-13j)
328,(-958.8587918738601+8.288536360067479e-13j)
329,(-1003.0654076063928-4.734942021278432e-13j)
330,(-1036.0044205929105-2.2057096926955025e-14j)
331,(-1245.1306547450777+6.366310305433405e-13j)
332,(-1210.6027414386808-1.8884390818668837e-12j)
333,(-1175.1596392769156-2.2855456031952525e-12j)
334,(-1158.0719601665194-1.7484409288081759e-12j)
335,(-1145.5728731728543-2.412923265151293e-13j)
336,(-877.5683087086576-5.468799509760773e-13j)
337,(-892.717142722664+1.1349959084227456e-12j)
338,(-1093.8166306431676-6.378762847292175e-13j)
339,(-1062.341058433017-5.120036763533756e-13j)
340,(-964.9802932669801+5.451333693305219e-13j)
341,(-993.6282229599502+8.442121929479775e-13j)
342,(-1036.376612426831+5.491485505898104e-13j)
343,(-1021.738831128397-1.1158062727259873e-12j)
344,(-1213.2556401386867-2.861914853579766e-13j)
345,(-844.6910789525979-1.9896925647305806e-12j)
346,(-921.2845961974241+5.513525174887569e-13j)
347,(-1055.6618972022286-4.3450544197339344e-15j)
348,(-962.1822896526154+1.0160701194862723e-12j)
349,(-1001.5335399886397+1.2236749534685602e-12j)
350,(-996.7839600585207-2.0059529176111636e-12j)
351,(-1190.5690727728027+4.93413065536237e-13j)
352,(-1167.4810583309493+3.4974912812964295e-13j)
353,(-1129.3687231362794+3.084803175952052e-13j)
354,(-1100.1683272285063+1.4482132426793553e-12j)
355,(-919.643392532104+8.012858663833538e-13j)
356,(-1066.5330447404242+4.6646807601336926e-14j)
357,(-1027.2634980621808-1.3467263755723397e-13j)
358,(-1262.4794071862557+5.849926983199934e-13j)
359,(-1221.0671647191327-4.67654501331334e-13j)
360,(-842.8714611470448+2.2655216197757901e-13j)
361,(-1192.7069104302586-3.8893285553366e-14j)
362,(-880.5987623711854+7.255844312974493e-13j)
363,(-903.7683773046249-2.6416170978086415e-13j)
364,(-933.2151606877753-6.412734025210973e-13j)
365,(-1096.838220306902-6.391213882501934e-13j)
366,(-964.6263193884824+2.358916994067839e-13j)
367,(-1042.1173931113115+5.469349595947453e-13j)
368,(-1032.7577534340476-3.849049321269125e-14j)
369,(-1195.7236264433466+1.4168115450704993e-12j)
370,(-1169.367922419952-1.473422707902774e-12j)
371,(-1143.2219719341344-8.47347696028471e-13j)
372,(-911.3744226636213+1.0924733292938509e-13j)
373,(-923.6902527377962+1.4307092792789793e-12j)
374,(-977.7217642969588+5.382631127417988e-13j)
375,(-1039.9172894345825+3.458005126170267e-14j)
376,(-1249.2215704620219-9.47533705492088e-13j)
377,(-834.0260892786504-2.244803930576687e-13j)
378,(-1197.6152351335297-2.668919667986232e-14j)
379,(-1141.0886184003095-1.0333586536689751e-12j)
380,(-1133.9188748133558+1.0939887744803433e-12j)
381,(-931.4417681510403+3.968201422423314e-13j)
382,(-1027.9968414860884-3.7973368295352086e-13j)
383,(-1227.1844349707442-1.0812324505629152e-12j)
384,(-798.915154040809+5.716250960703057e-13j)
385,(-872.04514678989+7.536115521452416e-13j)
386,(-1090.8130461654996-1.8756360086279067e-13j)
387,(-1059.060921617356+3.1835919804537283e-13j)
388,(-1010.366075386305-2.1667053865996395e-13j)
389,(-978.3477110245457-8.695626836973611e-14j)
390,(-1193.166166873345+3.5318439471582457e-13j)
391,(-873.904167030882+7.071522730833363e-13j)
392,(-1170.861591018335-8.999589640321905e-13j)
393,(-1142.1905354750982-1.2408443042221611e-15j)
394,(-1126.1539266007176+4.1083620487489415e-13j)
395,(-942.6632546901875-1.6630473846425037e-13j)
396,(-1108.209886788552-7.368658025361461e-14j)
397,(-988.5433510711703+1.327934467007504e-13j)
398,(-1011.1181510199419+1.1168119816248545e-13j)
399,(-1217.6112867180068+2.530287163162543e-12j)
400,(-1151.4975060919508-2.6784740538167627e-14j)
401,(-886.0539283152066-1.700747979035261e-13j)
402,(-951.2903391135657+1.349124080136359e-12j)
403,(-982.5749200713647+5.762254535415586e-14j)
404,(-840.9091336039411+1.1492736375110174e-12j)
405,(-1184.983817049602-3.617524134454135e-13j)
406,(-1176.941825058072-5.963568356407748e-14j)
407,(-902.0148525684258-1.5225836244329332e-11j)
408,(-905.1308793572473+1.636672552479233e-11j)
409,(-928.5999157703174+9.55711928822546e-13j)
410,(-950.0135091086223+1.993648257723997e-13j)
411,(-970.2526564405213-1.1167529818432444e-13j)
412,(-1024.2285441197969+2.507199119907948e-13j)
413,(-1103.2339004862567+8.661355287833327e-13j)
414,(-1085.3188390103428-6.953810051955305e-13j)
415,(-835.0638653768185+2.886579864025407e-14j)
416,(-1257.0018533625484+2.5462271180387575e-13j)
417,(-863.152478550732+9.019668730033532e-13j)
418,(-1193.2683148722022+6.45183463844466e-14j)
419,(-917.8969613956003+1.6178805890388014e-12j)
420,(-1156.2918351866617-9.841256047207144e-13j)
421,(-954.2044413470904+5.958840804537606e-13j)
422,(-962.9028038278099+4.3068752854832007e-13j)
423,(-1119.386544637488+1.7476678928197528e-13j)
424,(-1082.8107137894656-5.079578282011278e-14j)
425,(-1005.3481104657726+2.487816427337304e-13j)
426,(-1038.3621816506734+1.309702471927744e-13j)
427,(-1050.6792744968743+2.3175613329558994e-13j)
428,(-1275.5152479912572+4.222247505588984e-13j)
429,(-1256.002752604061+1.7043150531697152e-13j)
430,(-826.6603751656475+8.575072808886531e-13j)
431,(-850.6881701635635+5.111418632306485e-13j)
432,(-870.5750657751064-9.691057023760606e-13j)
433,(-1185.3844789051927-5.282627276105199e-13j)
434,(-1175.1255164484362-3.630277739679766e-13j)
435,(-1153.5992399452573+1.1428230286718599e-12j)
436,(-892.108771607677-2.6678475655574615e-13j)
437,(-901.0969569169528+8.668597774168146e-13j)
438,(-1131.9890745921125+8.329820509888939e-13j)
439,(-1094.5222772132504-4.815982762325073e-13j)
440,(-936.6911489136938-3.321461340971936e-13j)
441,(-955.2719682362214+1.7500764124502087e-13j)
442,(-1044.5312237651929-3.447283053893498e-13j)
443,(-1259.4355487429043+7.699185571574761e-13j)
444,(-1224.2668299928825-3.0564880990629616e-13j)
445,(-823.6392953348695+1.4444450707345478e-14j)
446,(-1177.8782332883727+3.4860543448730235e-13j)
447,(-1157.0532381076391+7.336934730106143e-13j)
448,(-877.4625429537714+1.3038339712101317e-13j)
449,(-1141.0767191786713-5.1277439054480265e-14j)
450,(-1104.4493754940415-3.891485853582076e-13j)
451,(-929.4931288411624+3.2890915094386945e-13j)
452,(-1064.4275784694348-8.422811285915782e-13j)
453,(-987.177017443176-7.701518379489572e-13j)
454,(-1208.6999361834496-8.77077493184562e-13j)
455,(-1179.1544230536863-3.342405126323575e-13j)
456,(-826.0891832721087-8.207893316332916e-14j)
457,(-1149.4442868832232+1.8153849115910524e-13j)
458,(-1107.8869611835744-2.7210649925514354e-13j)
459,(-1089.2858946018462+1.866296455603872e-12j)
460,(-1077.9549551283244-1.5024850249673356e-12j)
461,(-1060.708205906962-1.1700258312512452e-12j)
462,(-894.7417266745742+4.779742806639349e-13j)
463,(-910.6718909332454+1.6319571559760829e-12j)
464,(-933.2369722872575+7.041566140113978e-13j)
465,(-962.8960846499358+7.037990133218305e-14j)
466,(-996.8623888332606-1.616417985571592e-13j)
467,(-1257.253605105178-3.879717727639509e-13j)
468,(-779.8623391443424-3.835675952953141e-14j)
469,(-1205.1989443273853-8.371677364340206e-13j)
470,(-833.3373492969919+5.325512419193666e-13j)
471,(-1182.0293927846037+3.8655091593191175e-13j)
472,(-868.0758510177712+2.5724055085594628e-12j)
473,(-871.0446761118997-3.711084721157611e-12j)
474,(-915.0922172307178-1.5124482696748664e-12j)
475,(-934.9684609663395+1.0105881433122102e-12j)
476,(-1083.97330601982+6.628530834489499e-13j)
477,(-1042.5705607342966+2.2135592326050186e-12j)
478,(-795.899842119019+4.5208595456990774e-14j)
479,(-816.8728886268311+5.342911700449244e-13j)
480,(-1061.1103771068124+2.1041634066204436e-13j)
481,(-1042.9939735848873-3.8482743096273176e-13j)
482,(-966.4706346802143+1.8788114191146677e-13j)
483,(-789.2211939267618+1.1269240748901233e-13j)
